workerid,proliferate.condition,alt_status,block_num,condition,first_response_value,item,item_number,item_type,mode,response,sentence_id,sentence_text,trial_sequence_total,wrong_attempts,error
262,Experiment Group,,,,,,practice_good,practice_good,,1,,,0,0,
262,Experiment Group,,,,,,practice_bad,practice_bad,,0.22,,,0,0,
262,Experiment Group,target,1,HDN,,25,,,a,0.27,25a,The citizens the new bill voted on.,1,,
262,Experiment Group,ungram,1,UNGRAM,,56,,,a,0.03,56f,Arriving at the when station next train is the?,2,,
262,Experiment Group,gram,1,GRAM,,41,,,a,1,41f,Who is going to the party tonight?,3,,
262,Experiment Group,target,1,LBC,,5,,,a,0.05,5a,How many did you fit in your locker books?,4,,
262,Experiment Group,target,1,SUB,,34,,,a,0.62,34a,The bride insisted for this venue for her wedding.,5,,
262,Experiment Group,target,1,CSC,,11,,,a,0.34,11a,What did the farmer harvest corn and?,6,,
262,Experiment Group,target,2,SUB,,33,,,a,0.68,33a,The committee agreed for the budget for the park.,7,,
262,Experiment Group,gram,2,GRAM,,44,,,a,1,44f,How did you learn to speak French so fluently?,8,,
262,Experiment Group,target,2,HDN,,21,,,a,0.1,21a,The child surely the chocolate cake ate.,9,,
262,Experiment Group,target,2,CSC,,14,,,a,0.53,14a,What did the boy purchase milk and?,10,,
262,Experiment Group,target,2,LBC,,4,,,a,0.26,4a,How many did they see dogs at the park?,11,,
262,Experiment Group,ungram,2,UNGRAM,,55,,,a,0.01,55f,Lead pianist to what claim the does believe that can practice?,12,,
262,Experiment Group,target,3,CSC,,15,,,a,0.57,15a,Who does the woman listen to the Beatles and?,13,,
262,Experiment Group,ungram,3,UNGRAM,,55,,,a,0.05,55f,Lead pianist to what claim the does believe that can practice?,14,,
262,Experiment Group,target,3,LBC,,3,,,a,0.05,3a,How many do you read books in a year?,15,,
262,Experiment Group,gram,3,GRAM,,42,,,a,0.83,42f,Why did the price of groceries increase suddenly?,16,,
262,Experiment Group,target,3,HDN,,22,,,a,0.17,22a,The kitten all of the milk drank.,17,,
262,Experiment Group,target,3,SUB,,32,,,a,0.69,32a,The group decided for a restaurant for dinner.,18,,
262,Experiment Group,ungram,4,UNGRAM,,54,,,a,0,54f,Believe the does killed claim that who detective the poison?,19,,
262,Experiment Group,gram,4,GRAM,,44,,,a,1,44f,How did you learn to speak French so fluently?,20,,
262,Experiment Group,target,4,HDN,,23,,,a,0.14,23a,The boy video games plays every day.,21,,
262,Experiment Group,target,4,CSC,,13,,,a,0.55,13a,What did the captain bring a map and?,22,,
262,Experiment Group,target,4,SUB,,31,,,a,0.57,31a,The policeman relied for his instincts to catch the thief.,23,,
262,Experiment Group,target,4,LBC,,2,,,a,0.09,2a,How many do you take pills in a day?,24,,
262,Experiment Group,ungram,5,UNGRAM,,51,,,a,0,51f,Mechanic the that can power biofuel the does believe what?,25,,
262,Experiment Group,gram,5,GRAM,,48,,,a,1,48f,Who won the award for best actor at last year's Oscar?,26,,
262,Experiment Group,target,5,SUB,,35,,,a,0.7,35a,The family compromised for where to go for vacation.,27,,
262,Experiment Group,target,5,HDN,,24,,,a,0,24a,The tourist her favorite restaurant visited.,28,,
262,Experiment Group,target,5,CSC,,12,,,a,0.58,12a,Who does the critic dislike the actor and?,29,,
262,Experiment Group,target,5,LBC,,1,,,a,0.21,1a,How many did you see cookies in the jar?,30,,
262,Experiment Group,alternative,6,LBC,,2,,,a,1,2b,How many pills do you take in a day?,31,,
262,Experiment Group,alternative,6,SUB,,34,,,a,1,34b,The bride insisted on this venue for her wedding.,32,,
262,Experiment Group,alternative,6,CSC,,12,,,a,1,12b,The critic dislikes the actor and who else?,33,,
262,Experiment Group,ungram,6,UNGRAM,,58,,,a,0.01,58f,Long how does it take to airport to drive the?,34,,
262,Experiment Group,gram,6,GRAM,,47,,,a,1,47f,Where did you go for your last vacation?,35,,
262,Experiment Group,alternative,6,HDN,,22,,,a,1,22b,The kitten drank all of the milk.,36,,
262,Experiment Group,alternative,7,CSC,,15,,,a,1,15b,The woman listens to the Beatles and who else?,37,,
262,Experiment Group,alternative,7,LBC,,1,,,a,1,1b,How many cookies did you see in the jar?,38,,
262,Experiment Group,ungram,7,UNGRAM,,54,,,a,0.2,54f,Believe the does killed claim that who detective the poison?,39,,
262,Experiment Group,alternative,7,SUB,,31,,,a,1,31b,The policeman relied on his instincts to catch the thief.,40,,
262,Experiment Group,alternative,7,HDN,,25,,,a,1,25b,The citizens voted on the new bill.,41,,
262,Experiment Group,gram,7,GRAM,,50,,,a,1,50f,How did they solve the problem with the leaking roof?,42,,
262,Experiment Group,alternative,8,HDN,,21,,,a,1,21b,The child surely ate the chocolate cake.,43,,
262,Experiment Group,gram,8,GRAM,,50,,,a,1,50f,How did they solve the problem with the leaking roof?,44,,
262,Experiment Group,alternative,8,CSC,,11,,,a,1,11b,The farmer harvested corn and what else?,45,,
262,Experiment Group,alternative,8,SUB,,33,,,a,1,33b,The committee agreed on the budget for the park.,46,,
262,Experiment Group,ungram,8,UNGRAM,,51,,,a,0,51f,Mechanic the that can power biofuel the does believe what?,47,,
262,Experiment Group,alternative,8,LBC,,4,,,a,1,4b,How many dogs did they see at the park?,48,,
262,Experiment Group,gram,9,GRAM,,45,,,a,0.97,45f,When will the new product be released?,49,,
262,Experiment Group,ungram,9,UNGRAM,,51,,,a,0,51f,Mechanic the that can power biofuel the does believe what?,50,,
262,Experiment Group,alternative,9,SUB,,35,,,a,1,35b,The family compromised on where to go for vacation.,51,,
262,Experiment Group,alternative,9,LBC,,3,,,a,1,3b,How many books do you read in a year?,52,,
262,Experiment Group,alternative,9,HDN,,23,,,a,1,23b,The boy plays videogames every day.,53,,
262,Experiment Group,alternative,9,CSC,,13,,,a,1,13b,The captain brought a map and what else?,54,,
262,Experiment Group,alternative,10,HDN,,24,,,a,1,24b,The tourist visited her favorite restaurant.,55,,
262,Experiment Group,alternative,10,SUB,,32,,,a,1,32b,The group decided on a restaurant for dinner.,56,,
262,Experiment Group,alternative,10,CSC,,14,,,a,1,14b,The boy purchased milk and what else?,57,,
262,Experiment Group,ungram,10,UNGRAM,,53,,,a,0,53f,Special commander does spy the initiated the what believe that?,58,,
262,Experiment Group,alternative,10,LBC,,5,,,a,1,5b,How many books did you fit in your locker?,59,,
262,Experiment Group,gram,10,GRAM,,48,,,a,1,48f,Who won the award for best actor at last year's Oscar?,60,,
267,Experiment Group,,,,,,practice_good,practice_good,,0.97,,,0,0,
267,Experiment Group,,,,,,practice_bad,practice_bad,,0.01,,,0,0,
267,Experiment Group,gram,1,GRAM,,44,,,a,0.98,44f,How did you learn to speak French so fluently?,1,,
267,Experiment Group,target,1,CSC,,11,,,a,0.02,11a,What did the farmer harvest corn and?,2,,
267,Experiment Group,target,1,SUB,,31,,,a,0,31a,The policeman relied for his instincts to catch the thief.,3,,
267,Experiment Group,ungram,1,UNGRAM,,57,,,a,0,57f,What the neighborhood the outage in caused sudden power?,4,,
267,Experiment Group,target,1,LBC,,5,,,a,0.2,5a,How many did you fit in your locker books?,5,,
267,Experiment Group,target,1,HDN,,24,,,a,0.19,24a,The tourist her favorite restaurant visited.,6,,
267,Experiment Group,gram,2,GRAM,,47,,,a,0.99,47f,Where did you go for your last vacation?,7,,
267,Experiment Group,target,2,HDN,,23,,,a,0.69,23a,The boy video games plays every day.,8,,
267,Experiment Group,target,2,SUB,,32,,,a,0.71,32a,The group decided for a restaurant for dinner.,9,,
267,Experiment Group,target,2,CSC,,12,,,a,0.88,12a,Who does the critic dislike the actor and?,10,,
267,Experiment Group,ungram,2,UNGRAM,,55,,,a,0.01,55f,Lead pianist to what claim the does believe that can practice?,11,,
267,Experiment Group,target,2,LBC,,4,,,a,0.3,4a,How many did they see dogs at the park?,12,,
267,Experiment Group,target,3,CSC,,13,,,a,0.55,13a,What did the captain bring a map and?,13,,
267,Experiment Group,target,3,SUB,,33,,,a,0.4,33a,The committee agreed for the budget for the park.,14,,
267,Experiment Group,gram,3,GRAM,,46,,,a,0.99,46f,Where did you find the missing keys?,15,,
267,Experiment Group,ungram,3,UNGRAM,,58,,,a,0,58f,Long how does it take to airport to drive the?,16,,
267,Experiment Group,target,3,LBC,,1,,,a,0.03,1a,How many did you see cookies in the jar?,17,,
267,Experiment Group,target,3,HDN,,22,,,a,0.28,22a,The kitten all of the milk drank.,18,,
267,Experiment Group,ungram,4,UNGRAM,,51,,,a,0,51f,Mechanic the that can power biofuel the does believe what?,19,,
267,Experiment Group,target,4,SUB,,34,,,a,0.34,34a,The bride insisted for this venue for her wedding.,20,,
267,Experiment Group,target,4,CSC,,14,,,a,0.81,14a,What did the boy purchase milk and?,21,,
267,Experiment Group,gram,4,GRAM,,43,,,a,0.99,43f,What are you planning to do this weekend?,22,,
267,Experiment Group,target,4,LBC,,2,,,a,0.3,2a,How many do you take pills in a day?,23,,
267,Experiment Group,target,4,HDN,,21,,,a,0.06,21a,The child surely the chocolate cake ate.,24,,
267,Experiment Group,target,5,LBC,,3,,,a,0.21,3a,How many do you read books in a year?,25,,
267,Experiment Group,gram,5,GRAM,,44,,,a,0.98,44f,How did you learn to speak French so fluently?,26,,
267,Experiment Group,ungram,5,UNGRAM,,52,,,a,0,52f,Do activists bribed claim officials the that the who?,27,,
267,Experiment Group,target,5,CSC,,15,,,a,0.72,15a,Who does the woman listen to the Beatles and?,28,,
267,Experiment Group,target,5,HDN,,25,,,a,0.24,25a,The citizens the new bill voted on.,29,,
267,Experiment Group,target,5,SUB,,35,,,a,0.75,35a,The family compromised for where to go for vacation.,30,,
267,Experiment Group,alternative,6,CSC,,14,,,a,0.99,14b,The boy purchased milk and what else?,31,,
267,Experiment Group,alternative,6,SUB,,31,,,a,1,31b,The policeman relied on his instincts to catch the thief.,32,,
267,Experiment Group,alternative,6,LBC,,1,,,a,0.99,1b,How many cookies did you see in the jar?,33,,
267,Experiment Group,gram,6,GRAM,,49,,,a,0.97,49f,Who is responsible for cleaning up the mess in the kitchen?,34,,
267,Experiment Group,alternative,6,HDN,,23,,,a,0.97,23b,The boy plays videogames every day.,35,,
267,Experiment Group,ungram,6,UNGRAM,,56,,,a,0.02,56f,Arriving at the when station next train is the?,36,,
267,Experiment Group,alternative,7,SUB,,34,,,a,0.97,34b,The bride insisted on this venue for her wedding.,37,,
267,Experiment Group,alternative,7,LBC,,4,,,a,0.97,4b,How many dogs did they see at the park?,38,,
267,Experiment Group,gram,7,GRAM,,44,,,a,0.97,44f,How did you learn to speak French so fluently?,39,,
267,Experiment Group,alternative,7,HDN,,21,,,a,0.86,21b,The child surely ate the chocolate cake.,40,,
267,Experiment Group,ungram,7,UNGRAM,,56,,,a,0.16,56f,Arriving at the when station next train is the?,41,,
267,Experiment Group,alternative,7,CSC,,13,,,a,0.97,13b,The captain brought a map and what else?,42,,
267,Experiment Group,alternative,8,CSC,,12,,,a,0.98,12b,The critic dislikes the actor and who else?,43,,
267,Experiment Group,ungram,8,UNGRAM,,53,,,a,0.01,53f,Special commander does spy the initiated the what believe that?,44,,
267,Experiment Group,alternative,8,LBC,,5,,,a,1,5b,How many books did you fit in your locker?,45,,
267,Experiment Group,alternative,8,SUB,,32,,,a,0.98,32b,The group decided on a restaurant for dinner.,46,,
267,Experiment Group,gram,8,GRAM,,45,,,a,0.99,45f,When will the new product be released?,47,,
267,Experiment Group,alternative,8,HDN,,24,,,a,0.96,24b,The tourist visited her favorite restaurant.,48,,
267,Experiment Group,ungram,9,UNGRAM,,53,,,a,0.05,53f,Special commander does spy the initiated the what believe that?,49,,
267,Experiment Group,alternative,9,CSC,,15,,,a,0.97,15b,The woman listens to the Beatles and who else?,50,,
267,Experiment Group,alternative,9,LBC,,2,,,a,0.99,2b,How many pills do you take in a day?,51,,
267,Experiment Group,gram,9,GRAM,,42,,,a,0.97,42f,Why did the price of groceries increase suddenly?,52,,
267,Experiment Group,alternative,9,SUB,,33,,,a,0.99,33b,The committee agreed on the budget for the park.,53,,
267,Experiment Group,alternative,9,HDN,,22,,,a,1,22b,The kitten drank all of the milk.,54,,
267,Experiment Group,ungram,10,UNGRAM,,54,,,a,0,54f,Believe the does killed claim that who detective the poison?,55,,
267,Experiment Group,alternative,10,CSC,,11,,,a,0.99,11b,The farmer harvested corn and what else?,56,,
267,Experiment Group,alternative,10,SUB,,35,,,a,0.99,35b,The family compromised on where to go for vacation.,57,,
267,Experiment Group,alternative,10,LBC,,3,,,a,0.98,3b,How many books do you read in a year?,58,,
267,Experiment Group,gram,10,GRAM,,41,,,a,0.99,41f,Who is going to the party tonight?,59,,
267,Experiment Group,alternative,10,HDN,,25,,,a,0.98,25b,The citizens voted on the new bill.,60,,
259,Experiment Group,,,,,,practice_good,practice_good,,0.95,,,0,0,
259,Experiment Group,,,,,,practice_bad,practice_bad,,0.03,,,0,0,
259,Experiment Group,alternative,1,HDN,,22,,,b,0.86,22b,The kitten drank all of the milk.,1,,
259,Experiment Group,alternative,1,SUB,,33,,,b,0.94,33b,The committee agreed on the budget for the park.,2,,
259,Experiment Group,gram,1,GRAM,,49,,,b,0.78,49f,Who is responsible for cleaning up the mess in the kitchen?,3,,
259,Experiment Group,alternative,1,CSC,,11,,,b,0.68,11b,The farmer harvested corn and what else?,4,,
259,Experiment Group,ungram,1,UNGRAM,,58,,,b,0.08,58f,Long how does it take to airport to drive the?,5,,
259,Experiment Group,alternative,1,LBC,,3,,,b,0.89,3b,How many books do you read in a year?,6,,
259,Experiment Group,gram,2,GRAM,,49,,,b,0.87,49f,Who is responsible for cleaning up the mess in the kitchen?,7,,
259,Experiment Group,alternative,2,HDN,,21,,,b,0.75,21b,The child surely ate the chocolate cake.,8,,
259,Experiment Group,alternative,2,SUB,,32,,,b,0.94,32b,The group decided on a restaurant for dinner.,9,,
259,Experiment Group,ungram,2,UNGRAM,,55,,,b,0.02,55f,Lead pianist to what claim the does believe that can practice?,10,,
259,Experiment Group,alternative,2,LBC,,2,,,b,0.97,2b,How many pills do you take in a day?,11,,
259,Experiment Group,alternative,2,CSC,,12,,,b,0.8,12b,The critic dislikes the actor and who else?,12,,
259,Experiment Group,alternative,3,LBC,,1,,,b,0.96,1b,How many cookies did you see in the jar?,13,,
259,Experiment Group,ungram,3,UNGRAM,,54,,,b,0.08,54f,Believe the does killed claim that who detective the poison?,14,,
259,Experiment Group,alternative,3,SUB,,35,,,b,0.95,35b,The family compromised on where to go for vacation.,15,,
259,Experiment Group,gram,3,GRAM,,47,,,b,0.97,47f,Where did you go for your last vacation?,16,,
259,Experiment Group,alternative,3,HDN,,25,,,b,0.96,25b,The citizens voted on the new bill.,17,,
