workerid,proliferate.condition,alt_status,block_num,condition,first_response_value,item,item_number,item_type,mode,response,sentence_id,sentence_text,trial_sequence_total,wrong_attempts,error
642,Experiment Group,,,,,,practice_good,practice_good,,1,,,0,0,
642,Experiment Group,,,,,,practice_bad,practice_bad,,0,,,0,0,
642,Experiment Group,ungram,1,UNGRAM,,60,,,b,0.24,60f,To recipe what I do need ingredients make this?,1,,
642,Experiment Group,alternative,1,SUB,,34,,,b,1,34b,The bride insisted on this venue for her wedding.,2,,
642,Experiment Group,gram,1,GRAM,,50,,,b,1,50f,How did they solve the problem with the leaking roof?,3,,
642,Experiment Group,alternative,1,HDN,,24,,,b,1,24b,The tourist visited her favorite restaurant.,4,,
642,Experiment Group,alternative,1,LBC,,1,,,b,0.98,1b,How many cookies did you see in the jar?,5,,
642,Experiment Group,alternative,1,CSC,,11,,,b,1,11b,The farmer harvested corn and what else?,6,,
642,Experiment Group,alternative,2,CSC,,12,,,b,1,12b,The critic dislikes the actor and who else?,7,,
642,Experiment Group,alternative,2,LBC,,3,,,b,1,3b,How many books do you read in a year?,8,,
642,Experiment Group,alternative,2,SUB,,33,,,b,1,33b,The committee agreed on the budget for the park.,9,,
642,Experiment Group,ungram,2,UNGRAM,,52,,,b,0,52f,Do activists bribed claim officials the that the who?,10,,
642,Experiment Group,alternative,2,HDN,,25,,,b,1,25b,The citizens voted on the new bill.,11,,
642,Experiment Group,gram,2,GRAM,,49,,,b,1,49f,Who is responsible for cleaning up the mess in the kitchen?,12,,
642,Experiment Group,alternative,3,SUB,,32,,,b,1,32b,The group decided on a restaurant for dinner.,13,,
642,Experiment Group,alternative,3,LBC,,2,,,b,1,2b,How many pills do you take in a day?,14,,
642,Experiment Group,alternative,3,HDN,,22,,,b,1,22b,The kitten drank all of the milk.,15,,
642,Experiment Group,gram,3,GRAM,,42,,,b,1,42f,Why did the price of groceries increase suddenly?,16,,
642,Experiment Group,ungram,3,UNGRAM,,57,,,b,0,57f,What the neighborhood the outage in caused sudden power?,17,,
642,Experiment Group,alternative,3,CSC,,14,,,b,1,14b,The boy purchased milk and what else?,18,,
642,Experiment Group,alternative,4,HDN,,21,,,b,0.94,21b,The child surely ate the chocolate cake.,19,,
642,Experiment Group,alternative,4,LBC,,5,,,b,1,5b,How many books did you fit in your locker?,20,,
642,Experiment Group,alternative,4,SUB,,31,,,b,1,31b,The policeman relied on his instincts to catch the thief.,21,,
